id;start_date;end_date;language
1;2020-05-22T05:02:21;2020-05-22T02:52:36;SPANISH
2;2020-05-21T09:52:32;2020-05-22T04:56:57;SPANISH
3;2020-05-22T00:47:51;2020-05-21T11:22:00;FRENCH
4;2020-05-21T16:05:22;2020-05-22T03:36:48;FRENCH
5;2020-05-22T01:35:40;2020-05-22T06:22:39;FRENCH
6;2020-05-21T19:28:01;2020-05-22T07:36:15;FRENCH
7;2020-05-21T21:13:21;2020-05-21T15:04:12;FRENCH
8;2020-05-21T20:09:34;2020-05-22T06:25:42;SPANISH
9;2020-05-21T18:50:43;2020-05-21T15:32:06;SPANISH
10;2020-05-22T03:02:47;2020-05-21T13:37:17;SPANISH
